DEBUG 2023-01-11 16:38:10.803 GMT-0500 [main] Tester - State data:
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285770202 => value-0.35940686875975136
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285803407 => value-0.8484019719645512
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285770798 => value-0.8013223079764669
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285769546 => value-0.7209397019998467
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285804307 => value-0.9240230268267318
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285804945 => value-0.13971258285901567
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285768356 => value-0.9166442500259828
DEBUG 2023-01-11 16:38:10.804 GMT-0500 [main] Tester - key-1673285803104 => value-0.5370913603014039
INFO  2023-01-11 16:38:11.629 GMT-0500 [main] Tester - MicroStreamTester started successfully
INFO  2023-01-11 16:38:58.309 GMT-0500 [SpringApplicationShutdownHook] Tester - MicroStreamTester shutting down
